mdate,key,author,editor,title,pages,year,volume,journal,number,url,ee,address,booktitle,month,cdrom,publisher,note,crossref,isbn,series,school,chapter,cite
2003-11-25,journalsactaBijlsmaN98,Lex Bijlsma|Rob Nederpelt,,Dijkstra-Scholten Predicate Calculus: Concepts and Misconceptions.,1007-1036,1998,35,Acta Inf.,12,db/journals/acta/acta35.html#BijlsmaN98,http://link.springer.de/link/service/journals/00236/bibs/8035012/80351007.htm,,,,,,,,,,,,journalsactaSimon83
2008-05-21,journalsactaMagnaniM08,Matteo Magnani|Danilo Montesi,,Management of interval probabilistic data.,93-130,2008,45,Acta Inf.,2,db/journals/acta/acta45.html#MagnaniM08,http://dx.doi.org/10.1007/s00236-007-0065-9,,,,,,,,,,,,journalsactaMilner96
2011-01-11,journalsactaVasudevan82,Sridhar Vasudevan,,Inner Loops in Flowgraphs and Code Optimization.,143-155,1982,17,Acta Inf.,,db/journals/acta/acta17.html#Vasudevan82,http://dx.doi.org/10.1007/BF00288967,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaAlblas89,Henk Alblas,,Iteration of Transformation Passes over Attributed Program Trees.,1-40,1989,27,Acta Inf.,1,db/journals/acta/acta27.html#Alblas89,http://dx.doi.org/10.1007/BF00263499,,,,,,,,,,,,journalsactaSaxena96
2011-01-11,journalsactaGoldschlager81,Leslie M. Goldschlager,,Varepsilon-Productions in Context-Free Grammars.,303-308,1981,16,Acta Inf.,,db/journals/acta/acta16.html#Goldschlager81,http://dx.doi.org/10.1007/BF00289308,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaWelch76,Peter D. Welch,,Modelling of DB/DC Systems.,227-247,1976,7,Acta Inf.,,db/journals/acta/acta7.html#Welch76,http://dx.doi.org/10.1007/BF00265773,,,,,,,,,,,,journalsactaBlum82
2011-01-11,journalsactaBucher83,Walter Bucher,,Two-Symbol DOS Systems Generating Regular Languages.,133-142,1983,20,Acta Inf.,,db/journals/acta/acta20.html#Bucher83,http://dx.doi.org/10.1007/BF00289411,,,,,,,,,,,,journalsactaHonkala11
2003-11-25,journalsactaMoreauD01,Luc Moreau|Jean Duprat,,A construction of distributed reference counting.,563-595,2001,37,Acta Inf.,8,db/journals/acta/acta37.html#MoreauD01,http://link.springer.de/link/service/journals/00236/bibs/1037008/10370563.htm,,,,,,,,,,,,journalsactaSaxena96
2007-06-13,journalsactaHesselink07,Wim H. Hesselink,,A criterion for atomicity revisited.,123-151,2007,44,Acta Inf.,2,db/journals/acta/acta44.html#Hesselink07,http://dx.doi.org/10.1007/s00236-007-0044-1,,,,,,,,,,,,journalsactaHonkala11
2011-01-11,journalsactaBetteridge74,T. Betteridge,,An Analytic Storage Allocation Model.,101-122,1974,3,Acta Inf.,,db/journals/acta/acta3.html#Betteridge74,http://dx.doi.org/10.1007/BF00264032,,,,,,,,,,,,journalsactaBozapalidisFR12
